Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.05354	-0.147168
0.05299	-0.147188
0.05254	-0.147267
0.05252	-0.147365
0.05449	-0.147582
0.0607	-0.148312
0.06158	-0.14851
0.06097	-0.148746
0.05803	-0.149141
0.0524	-0.149654
0.04993	-0.150028
0.04913	-0.150285
0.0484	-0.150364
0.04797	-0.15062
0.05014	-0.151271
0.05096	-0.151666
0.05156	-0.151725
0.05081	-0.151725
0.05092	-0.151705
0.05092	-0.151705
0.05113	-0.151685
0.05101	-0.151685
0.05049	-0.151685
0.05052	-0.151685
0.05092	-0.151685
0.05014	-0.151685
0.05063	-0.151685
0.04997	-0.151685
0.05006	-0.151705
0.05	-0.151725
0.04984	-0.15204
0.04451	-0.15281
0.04301	-0.152888
0.04117	-0.153105
0.03723	-0.153599
0.03554	-0.153993
0.03517	-0.154151
0.03487	-0.154506
0.034	-0.154683
0.03368	-0.154822
0.03352	-0.155157
0.03328	-0.155236
0.03284	-0.155413
0.03149	-0.156005
0.0311	-0.1564
0.0312	-0.1564
0.03093	-0.1564
0.03142	-0.15638
0.03125	-0.15638
0.03105	-0.156281
0.0313	-0.156281
0.03093	-0.156281
0.0313	-0.156281
0.03151	-0.156281
0.03143	-0.156301
0.03142	-0.156321
0.03134	-0.15634
0.03143	-0.156538
0.03104	-0.15707
0.0311	-0.157248
0.0314	-0.157425
0.03148	-0.15782
0.03252	-0.158372
0.03377	-0.158865
0.03481	-0.159279
0.03534	-0.159556
0.03522	-0.159772
0.03526	-0.160049
0.03537	-0.160404
0.03571	-0.160404
0.03564	-0.160404
0.0359	-0.160285
0.03548	-0.160285
0.03589	-0.160285
0.03563	-0.160285
0.03586	-0.160285
0.03545	-0.160285
0.03539	-0.160285
0.03558	-0.160285
0.03534	-0.160364
0.03543	-0.160483
0.03548	-0.160581
0.03662	-0.160818
0.03911	-0.161232
0.04286	-0.161804
0.04376	-0.162001
0.04474	-0.162278
0.04431	-0.162495
0.04332	-0.162672
0.04266	-0.162988
0.0417	-0.163106
0.04158	-0.163501
0.0412	-0.163737
0.04099	-0.163757
0.04086	-0.163757
0.04108	-0.163757
0.04108	-0.163757
0.04115	-0.163737
0.04105	-0.163717
0.04073	-0.163717
0.04124	-0.163717
0.04132	-0.163717
0.041	-0.163717
0.04106	-0.163717
0.04109	-0.163717
0.04132	-0.163717
0.04123	-0.163757
0.04091	-0.163836
0.04257	-0.16429
0.04625	-0.164881
0.04634	-0.164921
0.0466	-0.16498
0.04739	-0.165138
0.0457	-0.16567
0.04198	-0.166183
0.04027	-0.166301
0.03925	-0.166775
0.03888	-0.16709
0.03902	-0.167209
0.0396	-0.167446
0.03979	-0.167781
0.03975	-0.167958
0.03908	-0.168254
0.03891	-0.168313
0.03897	-0.168313
0.03902	-0.168313
0.03888	-0.168294
0.03766	-0.167939
0.03807	-0.167939
